Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,FF07,cereals_oatmeal,1288,11.8,16.87,,2.71,11.54,22.2,16.06,0,,120.54,0,236.83,0,,F,,,,35.64,170.72,,22.99,125.55,215.89,13.47
All people,Standard DRI age groups,1-3 yr,FF08,cereals_rice & bran,1288,6.2,1.29,E,0.41,0.49,2.1,31.78,0,,68.48,0,134.54,0,0,,4.49,0,8.82,0,,F,,,,70.84
All people,Standard DRI age groups,1-3 yr,FF09,cookies,1288,29.2,7.07,,0.76,5.57,8.57,10.75,0,,3.02,0,5.93,0,24.32,,2.47,19.47,29.17,10.16,36,,3.85,28.44,43.56,10.69
All people,Standard DRI age groups,1-3 yr,FF10,crackers,1288,28.9,5.16,,0.62,3.95,6.37,12.02,0,,2.99,0,5.87,0,17.5,,1.1,15.34,19.66,6.29,24.01,,3.94,16.26,31.75,16.41
All people,Standard DRI age groups,1-3 yr,FF11,danish_donuts & croissants,1288,4,2.62,E,0.62,1.39,3.85,23.66,0,,380.52,0,747.62,0,0,,36.79,0,72.29,0,0,,14.62,0,28.73,0
All people,Standard DRI age groups,1-3 yr,FF12,flour_white (wheat),1288,12.9,1.84,E,0.53,0.8,2.89,28.8,0,,2.75,0,5.4,0,,F,,,,62.69,,F,,,,50.61
All people,Standard DRI age groups,1-3 yr,FF13,muffins,1288,8.2,5.12,E,0.9,3.34,6.89,17.58,0,,79.65,0,156.49,0,0,,14.13,0,27.75,0,44.68,E,10.62,23.82,65.53,23.77
All people,Standard DRI age groups,1-3 yr,FF14,pancakes & waffles,1288,7,2.82,E,0.5,1.84,3.8,17.73,0,,31.9,0,62.67,0,0,,7.86,0,15.44,0,23.42,E,5.44,12.74,34.1,23.23
All people,Standard DRI age groups,1-3 yr,FF15,pasta_mixed dishes,1288,9,15.74,E,2.94,9.97,21.51,18.68,0,,139.83,0,274.73,0,0,,27.59,0,54.21,0,144.84,E,29.24,87.4,202.28,20.19
All people,Standard DRI age groups,1-3 yr,FF16,pasta_plain,1288,27.4,22.69,,2.44,17.89,27.49,10.75,0,,17.36,0,34.1,0,102.47,,8.11,86.54,118.39,7.91,131.03,,6.05,119.14,142.91,4.62
All people,Standard DRI age groups,1-3 yr,FF17,pie_apple,1288,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,FF18,pie_other,1288,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,FF19,rice,1288,30,27.43,,3.14,21.25,33.61,11.45,0,,17.43,0,34.25,0,84.28,,8.71,67.17,101.39,10.33,124.42,,15.37,94.22,154.62,12.35
All people,Standard DRI age groups,1-3 yr,FF20,buns & rolls,1288,2.1,0.89,E,0.26,0.39,1.4,29.21,0,,273.19,0,536.74,0,0,,83.53,0,164.11,0,0,,30.06,0,59.05,0
All people,Standard DRI age groups,1-3 yr,FF21,breads_other,1288,11.6,6,E,1.05,3.95,8.05,17.5,0,,38.65,0,75.93,0,,F,,,,84.36,52.09,,6.89,38.56,65.63,13.23
All people,Standard DRI age groups,1-3 yr,GG01,baked beans_canned,1288,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG02,beans_string,1288,9.2,1.45,,0.23,1,1.91,15.86,0,,31.67,0,62.22,0,0,,2.62,0,5.14,0,6.7,E,1.83,3.11,10.28,27.31
All people,Standard DRI age groups,1-3 yr,GG03,beets,1288,0.7,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,GG04,broccoli,1288,10.7,3.97,E,0.66,2.67,5.28,16.62,0,,29.77,0,58.48,0,,F,,,,142.79,30.04,E,6.16,17.94,42.14,20.51
All people,Standard DRI age groups,1-3 yr,GG05,cabbage,1288,4.7,,F,,,,58.02,0,,394.43,0,774.94,0,0,,4.74,0,9.32,0,0,,1.72,0,3.38,0
All people,Standard DRI age groups,1-3 yr,GG06,carrots,1288,31.5,8.16,,1.03,6.13,10.19,12.62,0,,1.79,0,3.52,0,28.12,E,5.92,16.49,39.75,21.05,57.12,,7.31,42.76,71.49,12.8
All people,Standard DRI age groups,1-3 yr,GG07,cauliflowers,1288,4.2,1.11,E,0.22,0.68,1.54,19.82,0,,553.22,0,1086.93,0,0,,15.48,0,30.41,0,0,,3.39,0,6.65,0
All people,Standard DRI age groups,1-3 yr,GG08,celery,1288,11.6,0.73,,0.12,0.49,0.97,16.44,0,,2.33,0,4.58,0,1.63,E,0.53,0.58,2.67,32.52,3.97,,0.53,2.93,5.01,13.35
All people,Standard DRI age groups,1-3 yr,GG09,corn,1288,9.7,2.99,E,0.53,1.94,4.03,17.73,0,,40.91,0,80.37,0,0,,2.94,0,5.77,0,24.29,E,5.95,12.61,35.97,24.5
All people,Standard DRI age groups,1-3 yr,GG10,cucumbers,1288,16.8,7.11,,1.14,4.86,9.36,16.03,0,,16.1,0,31.64,0,20.63,E,4.41,11.96,29.3,21.38,41.35,E,8.16,25.32,57.38,19.73
All people,Standard DRI age groups,1-3 yr,GG11,lettuce,1288,7.1,1.23,E,0.39,0.47,1.99,31.71,0,,50.32,0,98.87,0,0,,2.37,0,4.65,0,,F,,,,83.72
All people,Standard DRI age groups,1-3 yr,GG12,mushrooms,1288,9,0.72,E,0.13,0.45,0.98,18.06,0,,10.78,0,21.17,0,0,,1.33,0,2.62,0,4.34,E,1.37,1.65,7.02,31.57
All people,Standard DRI age groups,1-3 yr,GG13,onions,1288,27.7,3.65,,0.48,2.7,4.59,13.15,0,,1.29,0,2.53,0,9.43,,1.4,6.67,12.18,14.85,20.22,E,3.62,13.11,27.34,17.9
All people,Standard DRI age groups,1-3 yr,GG14,peas,1288,12.6,2.94,E,0.61,1.73,4.14,20.75,0,,11.51,0,22.62,0,,F,,,,33.83,23.23,E,5.16,13.09,33.36,22.21
All people,Standard DRI age groups,1-3 yr,GG15,peppers,1288,12.9,1.66,E,0.3,1.06,2.25,18.07,0,,4.56,0,8.96,0,3.13,E,0.87,1.41,4.84,27.8,,F,,,,35.35
All people,Standard DRI age groups,1-3 yr,GG16,potatoes_boiled,1288,19.1,10.94,,1.52,7.96,13.92,13.89,0,,12.18,0,23.93,0,51.23,,8.11,35.3,67.17,15.83,81.05,,10.69,60.05,102.06,13.19
