Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_kilogrambodyweight_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL01,cereals_mixed,6193,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL02,desserts,6193,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL03,dinners_cereal + vegetable + meat,6193,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL04,dinners_meat or poultry + vegetable,6193,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL05,formulae_milk base,6193,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL06,formulae_soya base,6193,,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL07,fruit_apple or peach,6193,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL08,meat_poultry or eggs,6193,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,LL09,vegetables,6193,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,MM01,popcorn_microwave,6193,3.3,0.02,,0,0.01,0.02,0,0,,1.28,0,2.52,0,0,,0.16,0,0.31,0,0,,0.06,0,0.12,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,MM02,frozen entrees,6193,0.9,,F,,,,33.33,0,,57.51,0,113,0,0,,17.84,0,35.06,0,0,,9.11,0,17.91,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN01,pizza,6193,10.2,0.3,,0.03,0.25,0.35,10,0,,1.2,0,2.35,0,,F,,,,68.75,2.15,,0.31,1.54,2.76,14.42
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN02,french fries,6193,11.6,0.12,,0.01,0.1,0.14,8.33,0,,0.76,0,1.49,0,,F,,,,34.38,0.9,,0.07,0.76,1.04,7.78
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN03,hamburger,6193,9.2,0.27,,0.03,0.22,0.33,11.11,0,,2.06,0,4.04,0,0,,0.43,0,0.85,0,2.34,,0.17,2.01,2.68,7.26
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN04,chicken burger,6193,1.5,0.04,E,0.01,0.02,0.06,25,0,,55.63,0,109.31,0,0,,9.12,0,17.92,0,0,,2.52,0,4.96,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN05,hot dogs,6193,3.7,0.08,,0.01,0.05,0.1,12.5,0,,4.61,0,9.05,0,0,,0.73,0,1.43,0,0,,0.39,0,0.77,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN06,chicken nuggets,6193,1.6,,F,,,,33.33,0,,49.7,0,97.64,0,0,,3.73,0,7.33,0,0,,0.97,0,1.9,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN07,chow mein,6193,1.1,,F,,,,50,0,,89.79,0,176.41,0,0,,35.06,0,68.88,0,0,,16.99,0,33.39,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN08,fried rice,6193,1,,F,,,,33.33,0,,51.55,0,101.27,0,0,,18.68,0,36.7,0,0,,5.32,0,10.45,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN09,prepared breakfast sandwiches,6193,3.3,0.08,E,0.02,0.04,0.12,25,0,,2.72,0,5.34,0,0,,0.6,0,1.19,0,0,,0.55,0,1.08,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,NN10,fast food sandwiches,6193,30.5,0.78,,0.03,0.71,0.85,3.85,0,,0.51,0,1,0,2.69,,0.1,2.5,2.88,3.72,3.66,,0.13,3.4,3.92,3.55
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP01,condiments,6193,14.1,0.06,,0,0.05,0.07,0,0,,0.06,0,0.12,0,0.14,,0.02,0.1,0.18,14.29,0.36,,0.03,0.29,0.42,8.33
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP02,salt,6193,41.4,0.01,,0,0.01,0.01,0,0,,0,0,0,0,0.02,,0,0.02,0.02,0,0.03,,0,0.03,0.04,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP03,baking powder,6193,1.8,0,,0,0,0,0,0,,0.35,0,0.68,0,0,,0.02,0,0.04,0,0,,0.01,0,0.01,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP04,yeast,6193,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP05,vanilla extract,6193,2.5,0,,0,0,0,0,0,,0.04,0,0.08,0,0,,0,0,0,0,0,,0,0,0,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP06,herbs and spices,6193,19.6,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0.01,,0,0.01,0.01,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP07,soya sauce,6193,4.8,0.01,,0,0.01,0.01,0,0,,0.14,0,0.27,0,0,,0.02,0,0.05,0,0,,0.01,0,0.02,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP09,tap water_sample area,6193,67.2,7.82,,0.32,7.19,8.45,4.09,3.98,,0.29,3.42,4.54,7.29,20.84,,0.65,19.57,22.12,3.12,27.65,,1.31,25.07,30.23,4.74
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,19+ yr M,PP10,water_natural spring,6193,29.7,3.57,,0.21,3.17,3.98,5.88,0,,1.46,0,2.88,0,12.16,,0.66,10.86,13.46,5.43,19.78,,1.15,17.53,22.04,5.81
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA01,milk_whole,6339,25.5,3.58,,0.23,3.13,4.03,6.42,0,,0.04,0,0.08,0,8.61,,0.9,6.84,10.38,10.45,25.52,,2.54,20.53,30.5,9.95
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA02,milk_2%,6339,48.4,4.78,,0.18,4.41,5.14,3.77,0,,0.03,0,0.07,0,15.12,,0.54,14.06,16.18,3.57,23.08,,1.06,21,25.16,4.59
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA03,milk_1%,6339,22.2,1.68,,0.15,1.39,1.98,8.93,0,,0.09,0,0.18,0,5.15,,0.53,4.11,6.19,10.29,10.82,,0.88,9.09,12.56,8.13
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA04,milk_skim,6339,12.9,0.34,,0.05,0.23,0.44,14.71,0,,0.06,0,0.11,0,,F,,,,40,0.56,E,0.15,0.26,0.86,26.79
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA05,evaporated milk_canned,6339,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA06,cream,6339,5.9,0.04,,0,0.03,0.05,0,0,,0.47,0,0.92,0,0,,0.06,0,0.12,0,0.16,E,0.05,0.05,0.26,31.25
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA07,ice cream,6339,14.5,0.55,,0.04,0.48,0.62,7.27,0,,0.87,0,1.72,0,1.85,,0.21,1.44,2.26,11.35,4.27,,0.28,3.72,4.83,6.56
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA08,yogurt,6339,28.9,1.56,,0.07,1.42,1.7,4.49,0,,0.58,0,1.14,0,5.55,,0.22,5.12,5.99,3.96,8.43,,0.39,7.66,9.2,4.63
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA09,cheese,6339,32.4,0.43,,0.02,0.38,0.47,4.65,0,,0.07,0,0.14,0,1.31,,0.07,1.17,1.46,5.34,2.26,,0.14,1.98,2.54,6.19
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA10,cheese_cottage,6339,1.2,,F,,,,33.33,0,,36.6,0,71.9,0,0,,16.48,0,32.38,0,0,,3.3,0,6.48,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA11,cheese_processed,6339,6.2,0.06,E,0.01,0.04,0.07,16.67,0,,0.51,0,1.01,0,0,,0.1,0,0.19,0,0.29,E,0.08,0.13,0.45,27.59
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA12,butter,6339,16.5,0.05,,0,0.04,0.05,0,0,,0.04,0,0.07,0,0.16,,0.01,0.14,0.19,6.25,0.34,,0.02,0.29,0.39,5.88
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA13,chocolate milk_1%,6339,8.8,0.75,,0.06,0.63,0.88,8,0,,3.46,0,6.8,0,0,,1.17,0,2.3,0,6.73,,0.58,5.58,7.87,8.62
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,AA14,buttermilk 1%,6339,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB01,beef_steak,6339,6,0.14,,0.02,0.11,0.18,14.29,0,,1.76,0,3.46,0,0,,0.22,0,0.43,0,,F,,,,33.33
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB02,beef_roast,6339,3.8,0.08,,0.01,0.06,0.11,12.5,0,,3.08,0,6.05,0,0,,0.48,0,0.94,0,0,,0.26,0,0.5,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB03,beef_ground,6339,11.5,0.16,,0.01,0.13,0.19,6.25,0,,0.22,0,0.43,0,0.3,E,0.08,0.13,0.46,26.67,0.98,,0.1,0.78,1.18,10.2
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB04,pork_fresh,6339,10.4,0.22,,0.02,0.17,0.26,9.09,0,,0.45,0,0.88,0,,F,,,,45,1.28,,0.15,0.99,1.57,11.72
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB05,pork_cured,6339,7,0.08,,0.01,0.05,0.1,12.5,0,,0.57,0,1.12,0,0,,0.05,0,0.1,0,0.3,E,0.06,0.17,0.42,20
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB06,veal_cutlets,6339,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB07,lamb,6339,0.9,,F,,,,33.33,0,,93.87,0,184.43,0,0,,31.83,0,62.54,0,0,,15.72,0,30.88,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB08,luncheon meats_cold cuts,6339,3.2,0.06,E,0.01,0.04,0.08,16.67,0,,3.81,0,7.48,0,0,,0.48,0,0.95,0,0,,0.23,0,0.45,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB09,luncheon meats_canned,6339,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB10,organ meats,6339,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,BB11,wieners & sausages,6339,5.9,0.16,,0.02,0.12,0.21,12.5,0,,2.29,0,4.5,0,0,,0.32,0,0.63,0,,F,,,,33.33
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC01,eggs,6339,28.1,0.45,,0.02,0.41,0.5,4.44,0,,0.03,0,0.06,0,1.72,,0.08,1.55,1.88,4.65,2.99,,0.13,2.74,3.24,4.35
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC02,poultry_chicken & turkey,6339,29.7,0.86,,0.05,0.76,0.95,5.81,0,,0.29,0,0.57,0,2.99,,0.16,2.67,3.3,5.35,4.88,,0.28,4.34,5.42,5.74
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,CC03,poultry_liver pate,6339,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD01,fish_marine,6339,6.7,0.2,,0.02,0.16,0.25,10,0,,3,0,5.9,0,0,,0.33,0,0.66,0,1.09,E,0.27,0.56,1.61,24.77
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD02,fish_fresh water,6339,1.1,0.04,E,0.01,0.01,0.06,25,0,,77.06,0,151.41,0,0,,27.78,0,54.58,0,0,,6.62,0,13,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD03,fish_canned,6339,1.7,0.02,,0,0.02,0.03,0,0,,127.05,0,249.61,0,0,,8.53,0,16.75,0,0,,1.03,0,2.03,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,DD04,shellfish,6339,3.2,0.04,E,0.01,0.03,0.05,25,0,,2.31,0,4.54,0,0,,0.34,0,0.67,0,0,,0.15,0,0.29,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE01,soups_meat_canned,6339,1.4,0.11,E,0.02,0.08,0.15,18.18,0,,71.44,0,140.37,0,0,,13.22,0,25.97,0,0,,4.85,0,9.54,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE02,soups_creamed_canned,6339,1.8,0.09,E,0.02,0.06,0.12,22.22,0,,104.1,0,204.52,0,0,,5.2,0,10.22,0,0,,1.62,0,3.19,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE03,soups_broth_canned,6339,10.6,0.42,,0.04,0.35,0.5,9.52,0,,1.85,0,3.63,0,,F,,,,125,3.41,,0.41,2.59,4.22,12.02
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,EE04,soups_dehydrated,6339,2.8,0.11,E,0.02,0.07,0.15,18.18,0,,28.76,0,56.5,0,0,,1.39,0,2.73,0,0,,0.17,0,0.34,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF01,bread_white,6339,23.5,0.47,,0.03,0.42,0.53,6.38,0,,0.39,0,0.77,0,1.83,,0.09,1.65,2.02,4.92,2.82,,0.13,2.56,3.07,4.61
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF02,bread_whole wheat,6339,12.8,0.27,,0.02,0.24,0.31,7.41,0,,0.78,0,1.54,0,1.04,,0.11,0.81,1.26,10.58,2.22,,0.13,1.97,2.48,5.86
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF03,bread_rye,6339,1.8,0.03,,0,0.02,0.04,0,0,,35.44,0,69.63,0,0,,1.1,0,2.15,0,0,,0.44,0,0.86,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF04,cake,6339,11.4,0.26,,0.02,0.22,0.3,7.69,0,,0.83,0,1.63,0,0.52,E,0.14,0.24,0.8,26.92,1.74,,0.18,1.39,2.09,10.34
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF05,cereal_cooked wheat,6339,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF06,cereal_corn,6339,4.4,0.04,,0,0.03,0.04,0,0,,0.87,0,1.72,0,0,,0.16,0,0.31,0,0,,0.1,0,0.19,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF07,cereals_oatmeal,6339,6.9,0.49,,0.05,0.4,0.59,10.2,0,,4.6,0,9.03,0,0,,0.76,0,1.49,0,3.15,E,0.77,1.64,4.67,24.44
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF08,cereals_rice & bran,6339,4.7,0.05,E,0.01,0.04,0.06,20,0,,1.31,0,2.57,0,0,,0.26,0,0.5,0,0,,0.09,0,0.19,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF09,cookies,6339,28.3,0.34,,0.02,0.31,0.37,5.88,0,,0.15,0,0.3,0,1.2,,0.06,1.09,1.32,5,1.88,,0.09,1.7,2.05,4.79
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF10,crackers,6339,21.8,0.22,,0.02,0.19,0.25,9.09,0,,0.16,0,0.31,0,0.79,,0.06,0.68,0.91,7.59,1.39,,0.1,1.2,1.59,7.19
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF11,danish_donuts & croissants,6339,7.7,0.19,,0.02,0.16,0.23,10.53,0,,1.27,0,2.5,0,0,,0.3,0,0.6,0,1.61,,0.19,1.23,1.99,11.8
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF12,flour_white (wheat),6339,14.8,0.07,,0.01,0.06,0.08,14.29,0,,0.06,0,0.11,0,0.1,E,0.02,0.06,0.14,20,0.39,,0.05,0.3,0.48,12.82
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF13,muffins,6339,8,0.23,,0.02,0.19,0.27,8.7,0,,1.47,0,2.88,0,0,,0.31,0,0.6,0,1.85,,0.21,1.44,2.27,11.35
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF14,pancakes & waffles,6339,7.8,0.18,,0.02,0.15,0.22,11.11,0,,1.13,0,2.21,0,0,,0.3,0,0.6,0,1.61,,0.16,1.3,1.92,9.94
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF15,pasta_mixed dishes,6339,9.2,0.72,,0.06,0.6,0.84,8.33,0,,3.51,0,6.9,0,0,,0.65,0,1.27,0,6.23,,0.55,5.15,7.32,8.83
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF16,pasta_plain,6339,21.1,0.94,,0.05,0.83,1.04,5.32,0,,0.7,0,1.37,0,3.68,,0.25,3.18,4.17,6.79,6.47,,0.35,5.78,7.17,5.41
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF17,pie_apple,6339,0.5,0.01,,0,0,0.01,0,0,,25.15,0,49.41,0,0,,6.92,0,13.6,0,0,,4.49,0,8.82,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF18,pie_other,6339,1,0.02,,0,0.01,0.03,0,0,,47.28,0,92.9,0,0,,28.32,0,55.64,0,0,,9.82,0,19.29,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF19,rice,6339,26,1.13,,0.06,1.02,1.25,5.31,0,,0.7,0,1.38,0,4.46,,0.24,3.99,4.93,5.38,6.66,,0.36,5.96,7.36,5.41
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF20,buns & rolls,6339,3.3,0.05,E,0.01,0.03,0.06,20,0,,2.16,0,4.24,0,0,,0.51,0,1,0,0,,0.25,0,0.49,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,FF21,breads_other,6339,15.9,0.42,,0.03,0.36,0.48,7.14,0,,0.79,0,1.54,0,1.61,,0.14,1.33,1.89,8.7,2.98,,0.15,2.68,3.28,5.03
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG01,baked beans_canned,6339,0.6,,F,,,,33.33,0,,127.47,0,250.44,0,0,,33.94,0,66.68,0,0,,22.1,0,43.42,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG02,beans_string,6339,6.5,0.06,E,0.01,0.05,0.08,16.67,0,,0.86,0,1.7,0,0,,0.13,0,0.25,0,0.31,E,0.1,0.12,0.49,32.26
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG03,beets,6339,0.4,0.01,,0,0,0.02,0,0,,18.52,0,36.38,0,0,,5.34,0,10.5,0,0,,3.45,0,6.77,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG04,broccoli,6339,8.9,0.16,,0.01,0.14,0.19,6.25,0,,0.67,0,1.32,0,0,,0.09,0,0.17,0,1.08,,0.17,0.74,1.42,15.74
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG05,cabbage,6339,5.2,0.05,E,0.01,0.03,0.08,20,0,,0.4,0,0.79,0,0,,0.05,0,0.09,0,,F,,,,75
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG06,carrots,6339,27,0.32,,0.02,0.27,0.36,6.25,0,,0.07,0,0.14,0,0.92,,0.08,0.76,1.08,8.7,1.91,,0.16,1.59,2.22,8.38
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG07,cauliflowers,6339,2.9,0.04,E,0.01,0.03,0.05,25,0,,3.38,0,6.63,0,0,,0.67,0,1.32,0,0,,0.22,0,0.44,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG08,celery,6339,12.8,0.04,,0,0.03,0.05,0,0,,0.08,0,0.16,0,0.11,E,0.02,0.07,0.14,18.18,0.25,,0.02,0.22,0.28,8
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG09,corn,6339,7.2,0.14,,0.02,0.1,0.17,14.29,0,,1.16,0,2.27,0,0,,0.1,0,0.2,0,0.64,E,0.13,0.38,0.91,20.31
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG10,cucumbers,6339,16.4,0.35,,0.03,0.29,0.4,8.57,0,,0.28,0,0.56,0,0.83,,0.12,0.58,1.07,14.46,2.12,,0.2,1.72,2.51,9.43
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG11,lettuce,6339,11.9,0.1,,0.01,0.08,0.12,10,0,,0.22,0,0.44,0,0.17,E,0.05,0.08,0.25,29.41,0.66,,0.06,0.53,0.78,9.09
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG12,mushrooms,6339,5.9,0.03,,0,0.02,0.04,0,0,,0.38,0,0.75,0,0,,0.05,0,0.1,0,,F,,,,37.5
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG13,onions,6339,29,0.16,,0.01,0.14,0.18,6.25,0,,0.02,0,0.04,0,0.49,,0.03,0.43,0.55,6.12,0.88,,0.06,0.77,0.99,6.82
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG14,peas,6339,7.2,0.09,,0.01,0.06,0.11,11.11,0,,0.71,0,1.39,0,0,,0.05,0,0.1,0,0.31,E,0.07,0.16,0.45,22.58
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG15,peppers,6339,13.1,0.12,,0.01,0.1,0.15,8.33,0,,0.14,0,0.27,0,0.1,E,0.03,0.04,0.16,30,0.6,,0.08,0.45,0.76,13.33
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG16,potatoes_boiled,6339,16,0.44,,0.03,0.38,0.51,6.82,0,,0.35,0,0.68,0,1.05,,0.14,0.76,1.33,13.33,2.96,,0.31,2.36,3.56,10.47
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG17,potatoes_chips,6339,11.9,0.13,,0.01,0.11,0.16,7.69,0,,0.42,0,0.83,0,0.25,E,0.06,0.13,0.37,24,0.78,,0.06,0.67,0.9,7.69
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG18,rutabaga,6339,0.8,0.01,,0,0,0.01,0,0,,17.98,0,35.32,0,0,,10.84,0,21.3,0,0,,7.14,0,14.04,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG19,vegetable juice_canned,6339,1.7,0.11,E,0.02,0.07,0.15,18.18,0,,303.43,0,596.15,0,0,,9.97,0,19.59,0,0,,3.28,0,6.45,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG20,tomatoes,6339,14.4,0.31,,0.03,0.26,0.36,9.68,0,,0.29,0,0.57,0,0.57,E,0.12,0.33,0.8,21.05,1.71,,0.16,1.41,2.02,9.36
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG21,tomatoes and tomato sauce_canned,6339,15.8,0.51,,0.04,0.44,0.59,7.84,0,,0.53,0,1.04,0,1.71,,0.2,1.32,2.11,11.7,3.56,,0.29,2.99,4.13,8.15
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG22,spinach,6339,3.9,0.05,E,0.01,0.03,0.07,20,0,,1.17,0,2.3,0,0,,0.18,0,0.35,0,0,,0.04,0,0.08,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG23,asparagus,6339,1,0.02,,0,0.01,0.03,0,0,,27.04,0,53.13,0,0,,12.19,0,23.96,0,0,,3.56,0,6.99,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG24,brussel sprouts,6339,0.3,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG26,potatoes_baked,6339,3.6,0.15,E,0.03,0.09,0.21,20,0,,5.71,0,11.21,0,0,,0.75,0,1.47,0,0,,0.33,0,0.65,0
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,GG27,corn chips,6339,6,0.07,,0.01,0.05,0.09,14.29,0,,0.53,0,1.04,0,0,,0.12,0,0.23,0,0.38,E,0.1,0.18,0.57,26.32
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,HH01,apple juice_canned,6339,14.4,1.51,,0.09,1.33,1.7,5.96,0,,3.33,0,6.54,0,5.78,,0.6,4.6,6.96,10.38,10.99,,0.54,9.93,12.05,4.91
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,HH02,applesauce_canned,6339,6.4,0.34,,0.03,0.28,0.4,8.82,0,,3.39,0,6.67,0,0,,0.72,0,1.41,0,2.39,E,0.64,1.14,3.65,26.78
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,HH03,apples,6339,27.4,1.55,,0.08,1.4,1.7,5.16,0,,0.7,0,1.38,0,5.95,,0.24,5.47,6.43,4.03,8.66,,0.34,7.99,9.34,3.93
All people,Adults(19+ yr)_Children (1-18 yr)_(M+F),1-18 yr,HH04,bananas,6339,24.6,0.95,,0.04,0.87,1.04,4.21,0,,0.82,0,1.62,0,3.67,,0.18,3.31,4.04,4.9,5.7,,0.2,5.3,6.1,3.51
