Code de composite (EAT_AC_Code),Description du composite alimentaire (EAT_AC_étiquette),La description des aliments inclus dans la mise en correspondance des composites
NN01,Pizza,Comprends tous les types de pizzas. Comprends aussi les roulés de pizza/bouchées de pizza et les calzones. 
NN02,Pommes de terre frites,"Comprends tous les types de pommes de terre frites, surgelées, fraîches ou qui proviennent de restaurants."
,,Ne comprends pas les frites de patates douces
NN03,Hamburger,Comprends les hamburgers et les hamburgers au fromage avec tous les types de garnitures 
NN04,Hamburgers de poulet,Comprends les hamburgers de poulet avec ou sans fromage avec tous les types de garnitures
NN05,Hot-dogs,"Comprends les hot-dogs sur pain, avec ou sans fromage et condiments"
NN06,Pépites de poulet,Comprends les pépites de poulet et les filets de poitrine de poulet
NN07,Chow mein au bœuf pour emporter,"Comprends tous les types de chow meins (crevette, porc, poulet ou bœuf), avec ou sans nouilles."
NN08,Riz frit (poulet et légumes),"Comprends tous les types de riz frit (porc, poulet, crevette, sans viande)"
NN09,Sandwichs « petit-déjeuner » préparés ,"Comprends tous les types de sandwichs « petit-déjeuner » sur muffin anglais, biscuits, pains ou croissants. Comprends aussi les burritos « petit-déjeuner »."
NN10,Sandwichs de restauration rapide,"Comprends tous les types de sandwichs, sous-marins et sandwichs roulés"
Ingrédients et eaux,,
PP01,Condiments,"Comprends tous les types de condiments comme le ketchup, la moutarde, la sauce BBQ, la sauce aux arachides, la sauce teriyaki, la sauce cocktail et la sauce aux prunes"
PP02,Sel,
PP03,Poudre à pâte,
PP04,Levure,
PP05,Extrait de vanille,
PP06,Fines herbes et épices,Comprends tous les types d’épices et d’herbes séchées
PP07,Sauce soja,
PP09,Eau du robinet_zone d’échantillonnage (où les échantillons ont été achetés),
PP10,Eau de source naturelle,Comprend l’eau minérale et l’eau de source gazéifiée et non gazéifiée. Comprends l’eau aromatisée 
PP11,Eau minérale naturelle,Cette consommation est prise en compte dans le PP10 et n'est pas présentée séparément.
PP13,Eau du robinet_le laboratoire de préparation d’aliments d’Ottawa,"Cette consommation est prise en compte dans les composites alimentaires individuels (par exemple, la soupe) et n'est pas présentée séparément."
