Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Quantité nette du produit,Unité de quantité nette du produit,Province/territoire d'origine,Pays d'origine,Date de péremption,Date de production,Utilisation prévue,Méthode de production,Physicochimique,Type d'échantillon,Sous-échantillon,Commentaires relatifs aux échantillons,Type d'emballage,Matériaux d'emballage,Condition d'emballage,Plus d'infos sur l'échantillon 1,Plus d'infos sur l'échantillon 2,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom du laboratoire,Date de la fin de l'analyse,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.867,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,7.3,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,=,3.66755,Bq/Kg,Potassium - 40,Radionucléides ,,,15.4,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, nature",TDS2021-FF16-Radionuclide,"FF16 Pasta, plain/Pâtes nature",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.684,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.626,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 134,Radionucléides ,,,0.695,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Césium - 137,Radionucléides ,,,0.766,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,FR Lead-210,Radionucléides ,,,6.59,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,=,38.26398,Bq/Kg,Potassium - 40,Radionucléides ,,,11.9,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Pâtes, plats composés",TDS2021-FF15-Radionuclide,"FF15 Pasta, mixed dishes (Lasagna, mac and cheese)/Plats de pâtes en mélange (lasagne, macaroni au fromage)",Pâtes et nouilles sèches précuites et autres produits semblables,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,iode - 131,Radionucléides ,,,0.573,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
"Restauration rapide, Chow Mein au boeuf",TDS2021-NN07-Radionuclide,"NN07 Beef chow mein, carry-out/Chow mein au bœuf pour emporter",Aliments de restauration rapide,,,,Inconnu,,,Prêt-à-manger,,,Composite,Oui,,,,,,,2021-11-01,Surveillance,Non,Restaurant,Ottawa,Ontario,Canada,<LOD/MDL,0,Bq/Kg,Américium - 241,Radionucléides ,,,0.694,,Tel que consommé,Laboratoire participanté avec succès à des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,SC DSSER BR Radionucléides,2023-11-04,Analyse des radio-isotopes par spectroscopie gamma,,Spectroscopie Gamma,,BCS.TDS2021.Radionuclides,Étude Canadienne sur l'alimentation totale 2021 radionucléides,Etude sur l'alimentation totale 2021 - radionucléides - Ottawa,Santé Canada
